subj,prop,id,obj,subj_id,prop_id,obj_id,s_aliases,o_aliases,s_uri,o_uri,s_wiki_title,o_wiki_title,s_pop,o_pop,question,possible_answers,obj_length,subj_length
Huntsville Stars,sport,2654950,baseball,1143920,560,1760504,"[""Stars""]","[""America's pastime"",""\u26be""]",http://www.wikidata.org/entity/Q3497227,http://www.wikidata.org/entity/Q5369,Huntsville Stars,Baseball,680,92716,What sport does Huntsville Stars play?,"[""baseball"", ""America's pastime"", ""⚾""]",8,16
Lobos BUAP Premier,sport,4534022,association football,1999079,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q5978170,http://www.wikidata.org/entity/Q2736,Lobos BUAP Premier,Association football,74,197767,What sport does Lobos BUAP Premier play?,"[""association football"", ""football"", ""soccer""]",20,18
Tim Hoogland,sport,4663968,association football,2055015,560,920845,"[""Tim Klaus Hoogland""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q61792,http://www.wikidata.org/entity/Q2736,Tim Hoogland,Association football,381,197767,What sport does Tim Hoogland play?,"[""association football"", ""football"", ""soccer""]",20,12
Steve Tilson,sport,5830622,association football,2609536,560,920845,"[""Stephen Brian Tilson""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q7614134,http://www.wikidata.org/entity/Q2736,Steve Tilson,Association football,1673,197767,What sport does Steve Tilson play?,"[""association football"", ""football"", ""soccer""]",20,12
André Racicot,sport,1841625,ice hockey,810596,560,1279430,"[""Andr\u00e9 Racicot, Jr."",""Red Light"",""Andre Racicot""]",[],http://www.wikidata.org/entity/Q2382412,http://www.wikidata.org/entity/Q41466,André Racicot,Ice hockey,377,59363,What sport does André Racicot play?,"[""ice hockey""]",10,13
linebacker,sport,3922169,American football,1712352,560,1278160,[],"[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q528145,http://www.wikidata.org/entity/Q41323,Linebacker,American football,29343,149108,What sport does linebacker play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",17,10
Radek Opršal,sport,2912427,association football,1247840,560,920845,"[""Radek Oprsal""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q3928620,http://www.wikidata.org/entity/Q2736,Radek Opršal,Association football,31,197767,What sport does Radek Opršal play?,"[""association football"", ""football"", ""soccer""]",20,12
Roberto Nani,sport,5917724,alpine skiing,2653666,560,629553,[],[],http://www.wikidata.org/entity/Q772623,http://www.wikidata.org/entity/Q186222,Roberto Nani,Alpine skiing,68,12053,What sport does Roberto Nani play?,"[""alpine skiing""]",13,12
tight end,sport,221856,American football,89734,560,1278160,"[""TE""]","[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q1153176,http://www.wikidata.org/entity/Q41323,Tight end,American football,30557,149108,What sport does tight end play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",17,9
USR Sainte-Rose,sport,994916,association football,424892,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q16338138,http://www.wikidata.org/entity/Q2736,USR (Guadeloupe football club),Association football,112,197767,What sport does USR Sainte-Rose play?,"[""association football"", ""football"", ""soccer""]",20,15
Stu Grimson,sport,3094817,ice hockey,1320206,560,1279430,"[""Stuart Grimson""]",[],http://www.wikidata.org/entity/Q446005,http://www.wikidata.org/entity/Q41466,Stu Grimson,Ice hockey,2801,59363,What sport does Stu Grimson play?,"[""ice hockey""]",10,11
Scott Muirhead,sport,5707942,association football,2546581,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q7436917,http://www.wikidata.org/entity/Q2736,Scott Muirhead,Association football,74,197767,What sport does Scott Muirhead play?,"[""association football"", ""football"", ""soccer""]",20,14
Algiers Derby,sport,2284594,association football,996814,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q3023593,http://www.wikidata.org/entity/Q2736,Algiers Derby,Association football,147,197767,What sport does Algiers Derby play?,"[""association football"", ""football"", ""soccer""]",20,13
1899 Wisconsin Badgers football team,sport,3132805,American football,1334958,560,1278160,[],"[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q4557429,http://www.wikidata.org/entity/Q41323,1899 Wisconsin Badgers football team,American football,121,149108,What sport does 1899 Wisconsin Badgers football team play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",17,36
Samir Sarsare,sport,5678539,association football,2531959,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q7409543,http://www.wikidata.org/entity/Q2736,Samir Sarsare,Association football,57,197767,What sport does Samir Sarsare play?,"[""association football"", ""football"", ""soccer""]",20,13
Mark Jonas,sport,6388189,association football,2877348,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q9029280,http://www.wikidata.org/entity/Q2736,Mark Jonas,Association football,141,197767,What sport does Mark Jonas play?,"[""association football"", ""football"", ""soccer""]",20,10
Fly,sport,6320847,American football,2851136,560,1278160,"[""fly route"",""seam route"",""streak route"",""go route""]","[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q8564110,http://www.wikidata.org/entity/Q41323,Fly route,American football,799,149108,What sport does Fly play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",17,3
Los Angeles Galaxy,sport,1611420,association football,717927,560,920845,"[""LA Galaxy"",""Galaxy"",""L.A. Galaxy""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q204357,http://www.wikidata.org/entity/Q2736,LA Galaxy,Association football,49982,197767,What sport does Los Angeles Galaxy play?,"[""association football"", ""football"", ""soccer""]",20,18
Exeter City F.C.,sport,3483612,association football,1504923,560,920845,"[""Exeter City Football Club"",""Exeter City FC"",""Exeter City"",""Exeter"",""City"",""The Grecians"",""ECFC""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q48939,http://www.wikidata.org/entity/Q2736,Exeter City F.C.,Association football,13120,197767,What sport does Exeter City F.C. play?,"[""association football"", ""football"", ""soccer""]",20,16
Maximiliano Cuberas,sport,5126550,association football,2266311,560,920845,"[""Maximiliano Pablo Cuberas Escalas""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q6795752,http://www.wikidata.org/entity/Q2736,Maximiliano Cuberas,Association football,56,197767,What sport does Maximiliano Cuberas play?,"[""association football"", ""football"", ""soccer""]",20,19
Adílson Batista,sport,2841140,association football,1218910,560,920845,"[""Adilson Batista""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q380411,http://www.wikidata.org/entity/Q2736,Adílson Batista,Association football,384,197767,What sport does Adílson Batista play?,"[""association football"", ""football"", ""soccer""]",20,15
Archie Needham,sport,828956,association football,354046,560,920845,"[""Archibald Needham""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q15997993,http://www.wikidata.org/entity/Q2736,Archie Needham,Association football,66,197767,What sport does Archie Needham play?,"[""association football"", ""football"", ""soccer""]",20,14
Gábor Jánvári,sport,4305618,association football,1889217,560,920845,"[""Gabor Janvari""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q5625743,http://www.wikidata.org/entity/Q2736,Gábor Jánvári,Association football,50,197767,What sport does Gábor Jánvári play?,"[""association football"", ""football"", ""soccer""]",20,13
Ernest Savard,sport,2310638,ice hockey,1008120,560,1279430,[],[],http://www.wikidata.org/entity/Q3057176,http://www.wikidata.org/entity/Q41466,Ernest Savard,Ice hockey,107,59363,What sport does Ernest Savard play?,"[""ice hockey""]",10,13
Mike van der Hoorn,sport,6128890,association football,2760979,560,920845,"[""Mike Adrianus Wilhelmus van der Hoorn""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q795493,http://www.wikidata.org/entity/Q2736,Mike van der Hoorn,Association football,1418,197767,What sport does Mike van der Hoorn play?,"[""association football"", ""football"", ""soccer""]",20,18
Jakob Friis-Hansen,sport,2029972,association football,889533,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q2640528,http://www.wikidata.org/entity/Q2736,Jakob Friis-Hansen,Association football,164,197767,What sport does Jakob Friis-Hansen play?,"[""association football"", ""football"", ""soccer""]",20,18
FC Dynamo Brest,sport,5918515,association football,2654109,560,920845,"[""FC Brest""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q772725,http://www.wikidata.org/entity/Q2736,FC Dynamo Brest,Association football,1716,197767,What sport does FC Dynamo Brest play?,"[""association football"", ""football"", ""soccer""]",20,15
Mateo Pavlović,sport,5445089,association football,2420762,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q71859,http://www.wikidata.org/entity/Q2736,Mateo Pavlović,Association football,852,197767,What sport does Mateo Pavlović play?,"[""association football"", ""football"", ""soccer""]",20,14
Gregor Zabret,sport,709543,association football,300905,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q15244350,http://www.wikidata.org/entity/Q2736,Gregor Zabret,Association football,377,197767,What sport does Gregor Zabret play?,"[""association football"", ""football"", ""soccer""]",20,13
Cam Brown,sport,3627834,ice hockey,1572589,560,1279430,"[""Richard Cameron Brown""]",[],http://www.wikidata.org/entity/Q5024809,http://www.wikidata.org/entity/Q41466,Cam Brown (ice hockey),Ice hockey,194,59363,What sport does Cam Brown play?,"[""ice hockey""]",10,9
2014–15 Premier League of Bosnia and Herzegovina,sport,1088874,association football,470931,560,920845,"[""2014-15 Premier League of Bosnia and Herzegovina""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q16875416,http://www.wikidata.org/entity/Q2736,2014–15 Premier League of Bosnia and Herzegovina,Association football,213,197767,What sport does 2014–15 Premier League of Bosnia and Herzegovina play?,"[""association football"", ""football"", ""soccer""]",20,48
Jared Gaither,sport,4645866,American football,2047265,560,1278160,"[""Jared Dwight Gaither""]","[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q6159967,http://www.wikidata.org/entity/Q41323,Jared Gaither,American football,729,149108,What sport does Jared Gaither play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",17,13
Vyacheslav Chadov,sport,63853,association football,25163,560,920845,"[""Vyacheslav Yuryevich Chadov""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q10479115,http://www.wikidata.org/entity/Q2736,Vyacheslav Chadov,Association football,45,197767,What sport does Vyacheslav Chadov play?,"[""association football"", ""football"", ""soccer""]",20,17
Mikhail Petrusyov,sport,5175436,association football,2289571,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q6849665,http://www.wikidata.org/entity/Q2736,Mikhail Petrusyov,Association football,58,197767,What sport does Mikhail Petrusyov play?,"[""association football"", ""football"", ""soccer""]",20,17
Rick Fisher,sport,5274211,basketball,2340006,560,1762290,"[""Richard B. \""Rick\"" Fisher""]","[""hoops"",""b-ball"",""basket ball"",""BB"",""Basketball""]",http://www.wikidata.org/entity/Q7000915,http://www.wikidata.org/entity/Q5372,Rick Fisher (basketball),Basketball,121,149310,What sport does Rick Fisher play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]",10,11
2010–11 South West Peninsula League,sport,981546,association football,419413,560,920845,"[""2010-11 South West Peninsula League""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q16255947,http://www.wikidata.org/entity/Q2736,2010–11 South West Peninsula League,Association football,86,197767,What sport does 2010–11 South West Peninsula League play?,"[""association football"", ""football"", ""soccer""]",20,35
Ron Douglas,sport,5627950,association football,2507842,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q7363710,http://www.wikidata.org/entity/Q2736,Ron Douglas,Association football,103,197767,What sport does Ron Douglas play?,"[""association football"", ""football"", ""soccer""]",20,11
Mohammed Amine Kabli,sport,2523629,association football,1090673,560,920845,"[""Mohammed Kabli""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q3318363,http://www.wikidata.org/entity/Q2736,Mohammed Amine Kabli,Association football,108,197767,What sport does Mohammed Amine Kabli play?,"[""association football"", ""football"", ""soccer""]",20,20
Marko Vidović,sport,5096058,association football,2252425,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q6771275,http://www.wikidata.org/entity/Q2736,Marko Vidović,Association football,86,197767,What sport does Marko Vidović play?,"[""association football"", ""football"", ""soccer""]",20,13
Ramón Rodríguez,sport,5534053,association football,2465960,560,920845,"[""Ramon Rodriguez""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q7290553,http://www.wikidata.org/entity/Q2736,Ramón Rodríguez (footballer),Association football,58,197767,What sport does Ramón Rodríguez play?,"[""association football"", ""football"", ""soccer""]",20,15
Juan Carlos Stauskas,sport,6120764,association football,2755528,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q794483,http://www.wikidata.org/entity/Q2736,Juan Carlos Stauskas,Association football,41,197767,What sport does Juan Carlos Stauskas play?,"[""association football"", ""football"", ""soccer""]",20,20
Italy men's national volleyball team,sport,611171,volleyball,250149,560,539791,"[""Nazionale di pallavolo maschile dell'Italia""]",[],http://www.wikidata.org/entity/Q1467139,http://www.wikidata.org/entity/Q1734,Italy men's national volleyball team,Volleyball,4010,111668,What sport does Italy men's national volleyball team play?,"[""volleyball""]",10,36
1994 Swedish Open,sport,580445,tennis,237521,560,2845656,"[""Swedish Open 1994""]","[""lawn tennis"",""lawntennis""]",http://www.wikidata.org/entity/Q14374183,http://www.wikidata.org/entity/Q847,1994 Swedish Open,Tennis,69,62513,What sport does 1994 Swedish Open play?,"[""tennis"", ""lawn tennis"", ""lawntennis""]",6,17
reserve team,sport,1862399,association football,819205,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q2412834,http://www.wikidata.org/entity/Q2736,Reserve team,Association football,2864,197767,What sport does reserve team play?,"[""association football"", ""football"", ""soccer""]",20,12
James Haskell,sport,3635640,rugby union,1576933,560,1967752,"[""James Andrew Welbon Haskell""]","[""rugby""]",http://www.wikidata.org/entity/Q503407,http://www.wikidata.org/entity/Q5849,James Haskell,Rugby union,12082,53595,What sport does James Haskell play?,"[""rugby union"", ""rugby""]",11,13
bonus,sport,3546242,basketball,1532336,560,1762290,"[""bonus situation"",""penalty situation""]","[""hoops"",""b-ball"",""basket ball"",""BB"",""Basketball""]",http://www.wikidata.org/entity/Q4942650,http://www.wikidata.org/entity/Q5372,Bonus (basketball),Basketball,3886,149310,What sport does bonus play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]",10,5
Izwan Mahbud,sport,1156358,association football,511582,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q1703329,http://www.wikidata.org/entity/Q2736,Izwan Mahbud,Association football,874,197767,What sport does Izwan Mahbud play?,"[""association football"", ""football"", ""soccer""]",20,12
Sebastián Morquio,sport,2444770,association football,1059642,560,920845,"[""Sebasti\u00e1n Dar\u00edo Morquio Flores"",""Sebastian Morquio"",""Sebastian Dario Morquio Flores""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q32158,http://www.wikidata.org/entity/Q2736,Sebastián Morquio,Association football,50,197767,What sport does Sebastián Morquio play?,"[""association football"", ""football"", ""soccer""]",20,17
Ladislav Žák,sport,4906189,association football,2162627,560,920845,"[""Ladislav Zak""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q6469741,http://www.wikidata.org/entity/Q2736,Ladislav Žák (footballer),Association football,30,197767,What sport does Ladislav Žák play?,"[""association football"", ""football"", ""soccer""]",20,12
Giorgio Venturin,sport,2819141,association football,1210054,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q3765815,http://www.wikidata.org/entity/Q2736,Giorgio Venturin,Association football,282,197767,What sport does Giorgio Venturin play?,"[""association football"", ""football"", ""soccer""]",20,16
Albert Cox,sport,3262149,association football,1399974,560,920845,"[""Albert Edward Harrison Cox""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q4709979,http://www.wikidata.org/entity/Q2736,Albert Cox,Association football,71,197767,What sport does Albert Cox play?,"[""association football"", ""football"", ""soccer""]",20,10
Wilson Rodrigues Fonseca,sport,1777111,association football,785711,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q2292579,http://www.wikidata.org/entity/Q2736,Wilson Rodrigues Fonseca,Association football,209,197767,What sport does Wilson Rodrigues Fonseca play?,"[""association football"", ""football"", ""soccer""]",20,24
Östersunds FK,sport,2317572,association football,1011037,560,920845,"[""Ostersunds FK"",""OFK Ostersund"",""\u00d6FK"",""\u00d6stersunds fotbollsklubb"",""\u00d6stersund""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q306797,http://www.wikidata.org/entity/Q2736,Östersunds FK,Association football,19815,197767,What sport does Östersunds FK play?,"[""association football"", ""football"", ""soccer""]",20,13
Alexei Ugarov,sport,439537,ice hockey,178386,560,1279430,"[""Alexei Mikhailovich Ugarov""]",[],http://www.wikidata.org/entity/Q1336430,http://www.wikidata.org/entity/Q41466,Alexei Ugarov,Ice hockey,50,59363,What sport does Alexei Ugarov play?,"[""ice hockey""]",10,13
Luis Eduardo Maldonado,sport,5033447,association football,2223224,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q6700500,http://www.wikidata.org/entity/Q2736,"Luis Maldonado (footballer, born 1985)",Association football,29,197767,What sport does Luis Eduardo Maldonado play?,"[""association football"", ""football"", ""soccer""]",20,22
Marino Rahmberg,sport,5558190,association football,2477059,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q731176,http://www.wikidata.org/entity/Q2736,Marino Rahmberg,Association football,115,197767,What sport does Marino Rahmberg play?,"[""association football"", ""football"", ""soccer""]",20,15
Dimitri Pätzold,sport,5165475,ice hockey,2285333,560,1279430,[],[],http://www.wikidata.org/entity/Q68416,http://www.wikidata.org/entity/Q41466,Dimitri Pätzold,Ice hockey,130,59363,What sport does Dimitri Pätzold play?,"[""ice hockey""]",10,15
Valdemar Mota,sport,2697856,association football,1161153,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q3553506,http://www.wikidata.org/entity/Q2736,Valdemar Mota,Association football,145,197767,What sport does Valdemar Mota play?,"[""association football"", ""football"", ""soccer""]",20,13
Timon Dobias,sport,5997654,association football,2693172,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q7806926,http://www.wikidata.org/entity/Q2736,Timon Dobias,Association football,38,197767,What sport does Timon Dobias play?,"[""association football"", ""football"", ""soccer""]",20,12
David Coulthard,sport,1205536,Formula One,536924,560,692238,"[""David Marshall Coulthard"",""DC""]","[""FIA Formula One World Championship"",""F1"",""Formula 1""]",http://www.wikidata.org/entity/Q172832,http://www.wikidata.org/entity/Q1968,David Coulthard,Formula One,38271,237047,What sport does David Coulthard play?,"[""Formula One"", ""FIA Formula One World Championship"", ""F1"", ""Formula 1""]",11,15
Christian Lee,sport,3728869,association football,1619766,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q5109837,http://www.wikidata.org/entity/Q2736,Christian Lee,Association football,169,197767,What sport does Christian Lee play?,"[""association football"", ""football"", ""soccer""]",20,13
Cris Carter,sport,203754,American football,82288,560,1278160,"[""Graduel Christopher Darin Carter"",""Christopher Darin Carter""]","[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q1140141,http://www.wikidata.org/entity/Q41323,Cris Carter,American football,23539,149108,What sport does Cris Carter play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",17,11
McPherson Meade,sport,5131889,association football,2269260,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q6802594,http://www.wikidata.org/entity/Q2736,McPherson Meade,Association football,44,197767,What sport does McPherson Meade play?,"[""association football"", ""football"", ""soccer""]",20,15
Julián Lalinde,sport,2161656,association football,944975,560,920845,"[""Julian Lalinde""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q2838461,http://www.wikidata.org/entity/Q2736,Julián Lalinde,Association football,56,197767,What sport does Julián Lalinde play?,"[""association football"", ""football"", ""soccer""]",20,14
Robbie Rouse,sport,5594178,American football,2493557,560,1278160,[],"[""gridiron football"",""\ud83c\udfc8"",""football"",""American rules football""]",http://www.wikidata.org/entity/Q7340987,http://www.wikidata.org/entity/Q41323,Robbie Rouse,American football,329,149108,What sport does Robbie Rouse play?,"[""American football"", ""gridiron football"", ""🏈"", ""football"", ""American rules football""]",17,12
1990–91 British Basketball League season,sport,1319519,basketball,586454,560,1762290,"[""1990-91 British Basketball League season""]","[""hoops"",""b-ball"",""basket ball"",""BB"",""Basketball""]",http://www.wikidata.org/entity/Q18089652,http://www.wikidata.org/entity/Q5372,1990–91 British Basketball League season,Basketball,87,149310,What sport does 1990–91 British Basketball League season play?,"[""basketball"", ""hoops"", ""b-ball"", ""basket ball"", ""BB"", ""Basketball""]",10,40
Li Shuai,sport,3016416,association football,1291562,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q4260751,http://www.wikidata.org/entity/Q2736,"Li Shuai (footballer, born 1982)",Association football,138,197767,What sport does Li Shuai play?,"[""association football"", ""football"", ""soccer""]",20,8
Tommy Ord,sport,6014567,association football,2700584,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q7819765,http://www.wikidata.org/entity/Q2736,Tommy Ord,Association football,335,197767,What sport does Tommy Ord play?,"[""association football"", ""football"", ""soccer""]",20,9
Chertsey Town F.C.,sport,3708093,association football,1610110,560,920845,"[""Chertsey Town Football Club"",""Chertsey Town FC"",""Chertsey Town"",""Chertsey"",""The Curfews"",""Town"",""CTFC""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q5092593,http://www.wikidata.org/entity/Q2736,Chertsey Town F.C.,Association football,3769,197767,What sport does Chertsey Town F.C. play?,"[""association football"", ""football"", ""soccer""]",20,18
WTA South Orange,sport,2252492,tennis,983000,560,2845656,"[""Eastern Grass Court Championships""]","[""lawn tennis"",""lawntennis""]",http://www.wikidata.org/entity/Q2976477,http://www.wikidata.org/entity/Q847,Eastern Grass Court Championships,Tennis,64,62513,What sport does WTA South Orange play?,"[""tennis"", ""lawn tennis"", ""lawntennis""]",6,16
Gus Bodnar,sport,3076671,ice hockey,1313811,560,1279430,[],[],http://www.wikidata.org/entity/Q440951,http://www.wikidata.org/entity/Q41466,Gus Bodnar,Ice hockey,249,59363,What sport does Gus Bodnar play?,"[""ice hockey""]",10,10
Mo Hamdaoui,sport,1421095,association football,635551,560,920845,"[""Mohamed Hamdaoui""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q18686560,http://www.wikidata.org/entity/Q2736,Mo Hamdaoui,Association football,172,197767,What sport does Mo Hamdaoui play?,"[""association football"", ""football"", ""soccer""]",20,11
Ricardo Gónzalez Reinoso,sport,2915204,association football,1249005,560,920845,"[""Ricardo Gonzalez Reinoso""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q3934280,http://www.wikidata.org/entity/Q2736,"Ricardo González (footballer, born 1965)",Association football,42,197767,What sport does Ricardo Gónzalez Reinoso play?,"[""association football"", ""football"", ""soccer""]",20,24
Dumitru Hubert,sport,2023102,bobsleigh,886844,560,570412,[],"[""bobsledding"",""bobsled"",""bobsleighing"",""Bobsled""]",http://www.wikidata.org/entity/Q2633180,http://www.wikidata.org/entity/Q177275,Dumitru Hubert,Bobsleigh,68,8944,What sport does Dumitru Hubert play?,"[""bobsleigh"", ""bobsledding"", ""bobsled"", ""bobsleighing"", ""Bobsled""]",9,14
2014 Powiat Poznański Open,sport,1214123,tennis,540522,560,2845656,[],"[""lawn tennis"",""lawntennis""]",http://www.wikidata.org/entity/Q17361964,http://www.wikidata.org/entity/Q847,2014 Powiat Poznański Open,Tennis,54,62513,What sport does 2014 Powiat Poznański Open play?,"[""tennis"", ""lawn tennis"", ""lawntennis""]",6,26
Bence Balogh,sport,3474277,association football,1500868,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q4886900,http://www.wikidata.org/entity/Q2736,Bence Balogh,Association football,116,197767,What sport does Bence Balogh play?,"[""association football"", ""football"", ""soccer""]",20,12
Marc Herold Gracien,sport,2871635,association football,1230317,560,920845,"[""Marc H\u00e9rold Gracien""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q3845367,http://www.wikidata.org/entity/Q2736,Marc Hérold Gracien,Association football,83,197767,What sport does Marc Herold Gracien play?,"[""association football"", ""football"", ""soccer""]",20,19
Slower ball,sport,5777392,cricket,2580895,560,1763930,[],[],http://www.wikidata.org/entity/Q7542151,http://www.wikidata.org/entity/Q5375,Slower ball,Cricket,759,220008,What sport does Slower ball play?,"[""cricket""]",7,11
George Milburn,sport,4219914,association football,1849427,560,920845,"[""George William Milburn""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q5542472,http://www.wikidata.org/entity/Q2736,George Milburn,Association football,198,197767,What sport does George Milburn play?,"[""association football"", ""football"", ""soccer""]",20,14
Ernő Noskó,sport,316576,association football,127845,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q1218682,http://www.wikidata.org/entity/Q2736,Ernő Noskó,Association football,100,197767,What sport does Ernő Noskó play?,"[""association football"", ""football"", ""soccer""]",20,10
Andrew Tucker,sport,3331448,association football,1431328,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q4758767,http://www.wikidata.org/entity/Q2736,Andrew Tucker (soccer),Association football,88,197767,What sport does Andrew Tucker play?,"[""association football"", ""football"", ""soccer""]",20,13
Anderson,sport,3432680,association football,1479798,560,920845,"[""Anderson Lu\u00eds de Abreu Oliveira""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q484772,http://www.wikidata.org/entity/Q2736,"Anderson (footballer, born 1988)",Association football,14892,197767,What sport does Anderson play?,"[""association football"", ""football"", ""soccer""]",20,8
2008–09 FA Cup,sport,4639015,association football,2044253,560,920845,"[""2009 FA Cup"",""2008-09 FA Cup""]","[""football"",""soccer""]",http://www.wikidata.org/entity/Q615034,http://www.wikidata.org/entity/Q2736,2008–09 FA Cup,Association football,2304,197767,What sport does 2008–09 FA Cup play?,"[""association football"", ""football"", ""soccer""]",20,14
Stade d'Abidjan,sport,1020236,association football,436195,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q1653415,http://www.wikidata.org/entity/Q2736,Stade d'Abidjan,Association football,526,197767,What sport does Stade d'Abidjan play?,"[""association football"", ""football"", ""soccer""]",20,15
Alexis Carra,sport,3282579,association football,1408516,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q4721421,http://www.wikidata.org/entity/Q2736,Alexis Carra,Association football,202,197767,What sport does Alexis Carra play?,"[""association football"", ""football"", ""soccer""]",20,12
Zaur Ramazanov,sport,1927843,association football,847332,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q2501059,http://www.wikidata.org/entity/Q2736,Zaur Ramazanov,Association football,130,197767,What sport does Zaur Ramazanov play?,"[""association football"", ""football"", ""soccer""]",20,14
Peggy Lokando,sport,5412943,association football,2406483,560,920845,[],"[""football"",""soccer""]",http://www.wikidata.org/entity/Q7160684,http://www.wikidata.org/entity/Q2736,Peggy Lokando,Association football,193,197767,What sport does Peggy Lokando play?,"[""association football"", ""football"", ""soccer""]",20,13
2010 Hong Kong Super Series,sport,985832,badminton,421457,560,2466251,[],[],http://www.wikidata.org/entity/Q1626982,http://www.wikidata.org/entity/Q7291,2010 Hong Kong Super Series,Badminton,107,129226,What sport does 2010 Hong Kong Super Series play?,"[""badminton""]",9,27
